word,japanese,source,source_url,license,source_dump_date,imported_at
aargh,"arghの異綴。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aargh,"CC BY-SA 4.0",2026-08-05,2026-08-14
aback,"後ろに。 / 驚き。 / 碑文の刻まれた石碑。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aback,"CC BY-SA 4.0",2026-08-05,2026-08-14
abend,"異常終了。 / （ソフトウェア等が）異常終了する。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abend,"CC BY-SA 4.0",2026-08-05,2026-08-14
abends,"""abend"" の複数形。 / ""abend"" の現在第三人称単数形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abends,"CC BY-SA 4.0",2026-08-05,2026-08-14
abhorrent,"忌み嫌っている。 / ぞっとするほど嫌な。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abhorrent,"CC BY-SA 4.0",2026-08-05,2026-08-14
abject,"惨めな。落ちぶれた。 / 下劣な。あさましい。 / 惨めに。 / 下劣に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abject,"CC BY-SA 4.0",2026-08-05,2026-08-14
ablaze,"燃えて。燃え立って。 / 明るく輝いた。 / 興奮した。 / 燃え立って。 / 明るく輝いて。 / 興奮して。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ablaze,"CC BY-SA 4.0",2026-08-05,2026-08-14
ably,"有能に","Japanese Wiktionary",https://ja.wiktionary.org/wiki/ably,"CC BY-SA 4.0",2026-08-05,2026-08-14
aboard,"（船、飛行機、電車などに）乗って。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/aboard,"CC BY-SA 4.0",2026-08-05,2026-08-14
abominable,"嫌悪感を抱かせる。憎むべき。 / 過度の。 / 粗末な。劣った。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abominable,"CC BY-SA 4.0",2026-08-05,2026-08-14
abominably,"酷く。嫌になるほど。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abominably,"CC BY-SA 4.0",2026-08-05,2026-08-14
abondance,"abundanceの異形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abondance,"CC BY-SA 4.0",2026-08-05,2026-08-14
abonnement,"予約購読、加入契約。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abonnement,"CC BY-SA 4.0",2026-08-05,2026-08-14
abonnements,"abonnementの複数形。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abonnements,"CC BY-SA 4.0",2026-08-05,2026-08-14
abortive,"流産の、早産の。 / 失敗に終わった、不成功の。 / 病気の進行を阻止する。 / 発育不全の。 / 流産、早産 / 堕胎薬","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abortive,"CC BY-SA 4.0",2026-08-05,2026-08-14
about,"～の周りに。 / ～のちかくに、～のあたりに。 / ～の身辺に、～の身につけて。 / ～について。 / ～に従事して、取り組んで / ～が中心で、目的で、重要で、〜を必要として、〜というものであって / およそ。 / 周囲に。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/about,"CC BY-SA 4.0",2026-08-05,2026-08-14
abroad,"外国に。外国へ。外国で。海外で。 / (噂などが) 広まって。流布して。 / 外国。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abroad,"CC BY-SA 4.0",2026-08-05,2026-08-14
abrupt,"突然の。 / 予期せぬ。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abrupt,"CC BY-SA 4.0",2026-08-05,2026-08-14
abruptly,"いきなり、突然。","Japanese Wiktionary",https://ja.wiktionary.org/wiki/abruptly,"CC BY-SA 4.0",2026-08-05,2026-08-14
